읍면동,민박명,소재지,데이터기준일
한림읍,마레카 민박,제주시 한림읍 금능1길 26-1,20211123
한림읍,아람이네,제주시 한림읍 비양도길 258,20211123
한림읍,아소낭,제주시 한림읍 명월성로 297-1,20211123
한림읍,옵데家 민박,제주시 한림읍 협재10길 4,20211123
한림읍,봉아저씨네 민박,"제주시 한림읍 명상로 8-4, 다동",20211123
한림읍,A spring  민박,제주시 한림읍 금능4길 11,20211123
한림읍,마음꽃하우스 민박,제주시 한림읍 협재8길 26,20211123
한림읍,너우렁 민박,제주시 한림읍 협재4길 12,20211123
한림읍,토투가,제주시 한림읍 귀덕9길19,20211123
한림읍,할미꽃하우스 민박,제주시 한림읍 협재로 167-5,20211123
한림읍,하루 민박,제주시 한림읍 내동길 24,20211123
한림읍,옹포민박,제주시 한림읍 옹포1길 50,20211123
한림읍,제주도 협재게스트하우스 민박,제주시 한림읍 협재4길 1-1,20211123
한림읍,부엉이민박,제주시 한림읍 옹포2길 28,20211123
한림읍,원담민박,제주시 한림읍 금능9길 15,20211123
한림읍,거드락지 민박,제주시 한림읍 한림로 350,20211123
한림읍,제주마로 민박,제주시 한림읍 한림로 414-1,20211123
한림읍,스톤빌리지 민박,제주시 한림읍 협재로 210-14,20211123
한림읍,은바다,제주시 한림읍 한림로 387-1,20211123
한림읍,제주별바람 민박,제주시 한림읍 한림해안로 500,20211123
한림읍,머무름 민박,제주시 한림읍 명재로 61-5,20211123
한림읍,에이미하우스 민박,제주시 한림읍 명랑남길 21-7,20211123
한림읍,유지공간 민박,제주시 한림읍 금능남1길 22,20211123
한림읍,켈리포니아 민박,제주시 한림읍 금악남1길 8,20211123
한림읍,비파 민박,제주시 한림읍 협재10길 14,20211123
한림읍,"찔레꽃남쪽마을 
민박",제주시 한림읍 명월로 56,20211123
한림읍,하늘고래 민박,제주시 한림읍 협재1길 59-4 A동,20211123
한림읍,슭하우스 민박,제주시 한림읍 한림중앙로 250-14,20211123
한림읍,몽생이 민박,"제주시 한림읍 협재로 42 , 1층",20211123
한림읍,고흐와 바흐 민박,제주시 한림읍 명재로 142-21,20211123
한림읍,눈의꽃 민박,제주시 한림읍 한림상로 280,20211123
한림읍,고흐 민박,제주시 한림읍 명재로 142-17,20211123
한림읍,너미존 민박,제주시 한림읍 한림상로 162,20211123
한림읍,하티 민박,제주시 한림읍 협재1길 39-5,20211123
한림읍,some 민박,제주시 한림읍 한수1길 33,20211123
한림읍,캐슬드한림 민박,제주시 한림읍 강구로 95-7,20211123
한림읍,스카이블루 민박,제주시 한림읍 협재로 85,20211123
한림읍,오시록헌PM  민박,제주시 한림읍 금능5길 19-3,20211123
한림읍,비양 민박,"제주시 한림읍 옹포3길 25-2, 2층",20211123
한림읍,카이 민박,"제주시 한림읍 협재2길 8-7, 3층. 4층",20211123
한림읍,별그대 민박,제주시 한림읍 금능길 83  나동,20211123
한림읍,명월돌집 민박,제주시 한림읍 명월로 4길 4,20211123
한림읍,나무처럼 민박,제주시 한림읍 홍수암로 3-1,20211123
한림읍,바다에서잘래 민박,제주시 한림읍 협재1길 33,20211123
한림읍,해가빛 민박,제주시 한림읍 금능길 89,20211123
한림읍,NW702 민박,제주시 한림읍 월령안길 7,20211123
한림읍,공감더하기 민박,제주시 한림읍 한림해안로 712,20211123
한림읍,청우 민박,제주시 한림읍 월각로 420-62,20211123
한림읍,보이드 민박,제주시 한림읍 금능3길 23-9,20211123
한림읍,팜스빌리지 101동 민박,"제주시 한림읍 귀덕7길 17, 101동",20211123
한림읍,팜스빌리지 105동 민박,"제주시 한림읍 귀덕7길 17, 105동, 2호",20211123
한림읍,마당뜰 민박,제주시 한림읍 대림로 55-1,20211123
한림읍,모네의 숲 민박,제주시 한림읍 저지14길 16-10,20211123
한림읍,달달하우스 민박,제주시 한림읍 한림로 414-6,20211123
한림읍,오블리비아테 민박,제주시 한림읍 월계로 15,20211123
한림읍,룰루랄라 민박,제주시 한림읍 귀덕남5길 7-8,20211123
한림읍,에퀴녹스 드 금능 민박,제주시 한림읍 금능9길 8,20211123
한림읍,신진민박,제주시 한림읍 비양도길 274,20211123
한림읍,멍게하 민박,제주시 한림읍 한림로 369-1,20211123
한림읍,그 바다에 머물다 민박,제주시 한림읍 협재4길 8,20211123
한림읍,협재 모닝하우스 민박,"제주시 한림읍 협재4길 8, 모닝하우스",20211123
한림읍,앙작시 프로젝트 민박,제주시 한림읍 금능9길 21,20211123
한림읍,시선 민박,제주시 한림읍 협재로 151-20,20211123
한림읍,제주 호박 민박,제주시 한림읍 금능길 20-6 제B동,20211123
한림읍,수원성 민박,제주시 한림읍 수원7길 47-3,20211123
한림읍,호끌락 제주,제주시 한림읍 금능길 41-1,20211123
한림읍,모레 제주 민박,제주시 한림읍 한림해안로 466,20211123
한림읍,비양도 봄날 민박,제주시 한림읍 비양도길 62,20211123
한림읍,퐁낭하우스 민박,제주시 한림읍 대림12길 60-4,20211123
한림읍,달시플러스,제주시 한림읍 금능6길 22,20211123
한림읍,푸루다비치 오션,제주시 한림읍 월령3길 39-5,20211123
한림읍,카사블루 민박,제주시 한림읍 일주서로 5556 B동,20211123
한림읍,하르방 산장 민박,제주시 한림읍 협재로 210-51,20211123
한림읍,풍경 소리 민박,제주시 한림읍 대림로 101-5,20211123
한림읍,제주 마중 민박,제주시 한림읍 금능9길 10-1 1동,20211123
한림읍,제주 하늘 바다 민박,제주시 한림읍 수원15길 31,20211123
한림읍,바르 민박,제주시 한림읍 한림해안로 297-5,20211123
한림읍,쿠잉썸  민박,제주시 한림읍 금능3길 29-1,20211123
한림읍,똘똘이 민박,제주시 한림읍 한림로 343,20211123
한림읍,곱드락 펜션민박,제주시 한림읍 협재2길 16,20211123
한림읍,인제주 민박,제주시 한림읍 명월성로 137-14,20211123
한림읍,주니비니하우스민박,제주시 한림읍 옹포4길 19,20211123
한림읍,BNB 37 민박,"제주시 한림읍 협재2길 37-1, 205호",20211123
한림읍,제주 애아리 in 귀덕 민박,제주시 한림읍 한림해안로 544,20211123
한림읍,민's 하우스 민박,제주시 한림읍 강구로 146,20211123
한림읍,까사린다 2 민박,제주시 한림읍 명월로6길 28,20211123
한림읍,제주그리기 민박,제주시 한림읍 귀덕4길 81,20211123
한림읍,귀덕바당 민박,"제주시 한림읍 귀덕7길 17, 팜스빌리지 108동-1호",20211123
한림읍,우연히 행복해지다 민박,"제주시 한림읍 한림로 224, 2층",20211123
한림읍,쿠잉하우스 민박,"제주시 한림읍 협재2길 73-11, 1층",20211123
한림읍,소희네 하우스,제주시 한림읍 협재남2길 45-22,20211123
한림읍,쉼127 민박,제주시 한림읍 대림8길 44,20211123
한림읍,도들민박,제주시 한림읍 협재로 99-2,20211123
한림읍,제주다시 민박,제주시 한림읍 금능길 4,20211123
한림읍,동행게스트하우스 with café,"제주시 한림읍 한림해안로 590, 2∙3동",20211123
한림읍,제주 개설렘 민박,제주시 한림읍 일주서로 5191-9,20211123
한림읍,씨더비양 민박,제주시 한림읍 동명7길 51,20211123
한림읍,아베끄 오 사랑 민박,제주시 한림읍 금능9길 1-1,20211123
한림읍,소소한 하룻밤,제주시 한림읍 동명2길 2,20211123
한림읍,안트레 민박,제주시 한림읍 한림중앙로 154-7,20211123
한림읍,별빛누리 민박,제주시 한림읍 귀덕4길 88-16,20211123
한림읍,더 리체,"제주시 한림읍 옹포2길 36-7, 105동",20211123
한림읍,산들,제주시 한림읍 중산간서로 4080,20211123
한림읍,해넘이달렌탈하우스,제주시 한림읍 월령안길 5-10,20211123
한림읍,제재텐스빌,"제주시 한림읍 옹포2길 36-6, 107동",20211123
한림읍,바다아리,"제주시 한림읍 한림로 361, 2,3층",20211123
한림읍,라신비,제주시 한림읍 한림해안로 548,20211123
한림읍,러블리에스메랄다,제주시 한림읍 한수풀로 176-25,20211123
한림읍,"마따니아(1,2)",제주시 한림읍 협재4길 4,20211123
한림읍,"마따니아(3,4)",제주시 한림읍 협재4길 4,20211123
한림읍,네이처트레일,제주시 한림읍 홍수암로 30-5,20211123
한림읍,달시,제주시 한림읍 한림로 372-6,20211123
한림읍,제주리조텔,제주시 한림읍 협재로 227-1,20211123
한림읍,모살개 렌트하우스,제주시 한림읍 일주서로 5849-3,20211123
한림읍,사이다,제주시 한림읍 월령3길 28-5,20211123
한림읍,추담,제주시 한림읍 금능1길 2-2,20211123
한림읍,협재리체,제주시 한림읍 옹포2길 38,20211123
한림읍,제주힐링,제주시 한림읍 금악서길 11,20211123
한림읍,오늘 하루도 제주,제주시 한림읍 금능5길 7,20211123
한림읍,팜스빌리지 104동 2호,"제주시 한림읍 귀덕7길  17, 104동 2호",20211123
한림읍,팜스빌리지 Ⅱ,"제주시 한림읍 귀덕7길 17, 104동 1호",20211123
한림읍,팜스빌리지 스페셜 조이,"제주시 한림읍 귀덕7길 17, 101동  1호",20211123
한림읍,돌담이네,제주시 한림읍 중산간서로 3890,20211123
한림읍,협재마당,제주시 한림읍 협재로 8,20211123
한림읍,제주언니,제주시 한림읍 한림해안로 492-28,20211123
한림읍,구르는 제주,제주시 한림읍 한수풀로 176-19,20211123
한림읍,협재 해오름 펜션,제주시 한림읍 옹포2길 37-28,20211123
한림읍,소낭,제주시 한림읍 월계로 38,20211123
한림읍,집 머무는,제주시 한림읍 귀덕3길 13-2,20211123
한림읍,예진가족농장,제주시 한림읍 중산간서로 4598,20211123
한림읍,들꽃,제주시 한림읍 동명2길 8-9,20211123
한림읍,카스빌리지1,"제주시 한림읍 협재남2길 105-24, 3동",20211123
한림읍,카스빌리지2,"제주시 한림읍 협재남2길 105-24, 2동",20211123
한림읍,모이모이,"제주시 한림읍 귀덕8길 39, 3층",20211123
한림읍,moimoi,"제주시 한림읍 귀덕8길 39, 1,2층",20211123
한림읍,아템파우제 A,"제주시 한림읍 월림8길 21, A동",20211123
한림읍,아템파우제 B,"제주시 한림읍 월림8길 21, B동",20211123
한림읍,오후만있던일요일,제주시 한림읍 일주서로 5871-2,20211123
한림읍,사이시옷,제주시 한림읍 한림로 829-1,20211123
한림읍,팜스빌리지 501,"제주시 한림읍 귀덕7길 17, 105동 1호",20211123
한림읍,명월재,제주시 한림읍 갯거리오름길 4,20211123
한림읍,쭈욱 민박,제주시 한림읍 하운당길 84-32,20211123
한림읍,과수원 피스,제주시 한림읍 한림로 176-2,20211123
한림읍,우기차니,"제주시 한림읍 협재4길 14-1, 가동",20211123
한림읍,에코 힐링 하우스,제주시 한림읍 협재남2길 45-62,20211123
한림읍,돌마니,제주시 한림읍 명월로6길 48,20211123
한림읍,바흐민박,제주시 한림읍 명재로 142-23,20211123
한림읍,협재하울스테이,제주시 한림읍 협재4길 7,20211123
한림읍,에코 힐링 하우스 2,제주시 한림읍 협재남2길 45-60,20211123
한림읍,금능630하우스,제주시 한림읍 한림로 221,20211123
한림읍,현이네,제주시 한림읍 동명7길 50-13,20211123
한림읍,메리 아일랜드,제주시 한림읍 금능길 80,20211123
한림읍,탐나는 팬션,"제주시 한림읍 귀덕7길 17번지, 107동",20211123
한림읍,시퀀스,제주시 한림읍 월령3길 29,20211123
한림읍,어랭이 민박,제주시 한림읍 협재3길 7,20211123
한림읍,in 섬 story,제주시 한림읍 비양도길 12-6,20211123
한림읍,협재 정담 렌트하우스,제주시 한림읍 한림로 372-9,20211123
한림읍,문워크,제주시 한림읍 월령안길 20-1,20211123
한림읍,에퀴녹스드,"제주시 한림읍 협재로 210-51, C동 2층",20211123
한림읍,코코스협재,"제주시 한림읍 협재2길 26, 나동 201호",20211123
한림읍,코코스2,"제주시 한림읍 협재2길 26, 가동",20211123
한림읍,협재45m,제주시 한림읍 한림로 381-8,20211123
한림읍,멀왓스테이,제주시 한림읍 중산간서로 5102,20211123
한림읍,라하프,제주시 한림읍 진질길 33,20211123
한림읍,아트하우스 두:드림,"제주시 한림읍 명월성로 141, A동",20211123
한림읍,레가,제주시 한림읍 수원7길 60-7,20211123
한림읍,협재서쪽,"제주시 한림읍 협재2길 12, 2층,4층",20211123
한림읍,나무 앤 씨,제주시 한림읍 금능3길 23-10,20211123
한림읍,글로리아 하우스,제주시 한림읍 협재남6길 138,20211123
한림읍,금손민박,제주시 한림읍 명월로4길 33,20211123
한림읍,제주소랑 앤 팜스빌리지,"제주시 한림읍 귀덕7길 17, 팜스빌리지 109-1동",20211123
한림읍,제주도파티게스트하우스 문어오빠,제주시 한림읍 한림로 372-15,20211123
한림읍,조이뜰,제주시 한림읍 명상로 24-8,20211123
한림읍,바당어부,제주시 한림읍 금능남1길 10-21,20211123
한림읍,보아비양,제주시 한림읍 옹포5길 25,20211123
한림읍,똘내미집,"제주시 한림읍 협재로 45, 에이동",20211123
한림읍,분더하우스,"제주시 한림읍 협재2길 61, 105동",20211123
한림읍,야베스의 집,"제주시 한림읍 협재2길 61, 102동",20211123
한림읍,소나무한그루,제주시 한림읍 명월성로 440,20211123
한림읍,하우스품에,"제주시 한림읍 명월성로 397-1, 110동",20211123
한림읍,제주위딤,"제주시 한림읍 옹포2길 45-1, 2동",20211123
한림읍,루디아,"제주시 한림읍 협재2길 61, 101동",20211123
한림읍,균이네,"제주시 한림읍 평화로 1281-51, 2동",20211123
한림읍,소희네집,"제주시 한림읍 평화로 1281-51, 17동",20211123
한림읍,다-락 게스트하우스,제주시 한림읍 금능1길 19-5,20211123
한림읍,문수동그디,제주시 한림읍 중산간서로 4631,20211123
한림읍,써니하우스,제주시 한림읍 귀덕4길 9-3,20211123
한림읍,하우염,"제주시 한림읍 협재2길 61, 104동",20211123
한림읍,호랑이 주택,제주시 한림읍 명랑남길 17,20211123
한림읍,풀집,"제주시 한림읍 평화로 1281-51, 9동",20211123
한림읍,바당노을,제주시 한림읍 월령3길 30-2,20211123
한림읍,바당보름,제주시 한림읍 월령안길 24,20211123
한림읍,라라스테이,제주시 한림읍 협재1길 55-3,20211123
한림읍,곰곰,제주시 한림읍 금능4길 14-1,20211123
한림읍,제주 安(안)에서,제주시 한림읍 광산로 11-20,20211123
한림읍,소랑 게스트하우스,"제주시 한림읍 월령3길 36, 나동 2층",20211123
한림읍,쉴만한 물가,제주시 한림읍 월령안길 30,20211123
한림읍,숨비,제주시 한림읍 귀덕5길 20-22,20211123
한림읍,J팜스텔 민박,제주시 한림읍 협재로 227,20211123
한림읍,수중산책,"제주시 한림읍 금능4길 12-11 2층, 3층",20211123
한림읍,세렝게티,제주시 한림읍 옹포리 224,20211123
한림읍,보호,제주시 한림읍 옹포7길 23-6,20211123
한림읍,별빛두방울,제주시 한림읍 협재10길 33-6,20211123
한림읍,솔향기하우스,제주시 한림읍 명월성로 290-6,20211123
한림읍,샹들리에펜션,제주시 한림읍 월령2길 67-19,20211123
한림읍,루디아바다,제주시 한림읍 협재1길 55-10,20211123
한림읍,협재블리스,제주시 한림읍 협재남6길 31,20211123
한림읍,으뜸원,제주시 한림읍 금능길 55,20211123
한림읍,꽃씨네돌담집,제주시 한림읍 협재남6길 78-151,20211123
한림읍,협재1714,제주시 한림읍 한림로 371-2,20211123
한림읍,민박집섶낭,제주시 한림읍 협재2길 41,20211123
한림읍,민수민수,제주시 한림읍 일주서로 5903-6,20211123
한림읍,단추스테이,제주시 한림읍 금능1길 15-8,20211123
한림읍,협재바닷가그리고숲속,제주시 한림읍 명월성로 258-15,20211123
한림읍,산도롱,제주시 한림읍 한림로 498-3,20211123
한림읍,무보,"제주시 한림읍 금능6길 16-14, 2층",20211123
한림읍,언니네 밥상,제주시 한림읍 동명7길 26-37,20211123
한림읍,바람이 쉬어가는 집,제주시 한림읍 동명7길 26-35,20211123
한림읍,삼춘네 밥상,제주시 한림읍 동명7길 26-45,20211123
한림읍,키친놀엔피오나에,"제주시 한림읍 협재로 181-124,H동",20211123
한림읍,제주휴가,제주시 한림읍 한림리 1077,20211123
한림읍,gstay202,제주시 한림읍 협재남6길 144,20211123
한림읍,제주애단비 귀덕,제주시 한림읍 귀덕5길 20-1,20211123
한림읍,다찌스테이,"제주시 한림읍 금성천남길26, 2층",20211123
한림읍,금능124,제주시 한림읍 금능4길 12-4,20211123
한림읍,마리따,제주시 한림읍 한림해안로 704,20211123
한림읍,이모네 밥상,제주시 한림읍 동명7길 26-43,20211123
한림읍,바다민박,제주시 한림읍 월령3길 27,20211123
한림읍,주리Sea 협재,"제주시 한림읍 협재2길 37-1, 208동",20211123
한림읍,벨롱하우스,제주시 한림읍 한림해안로 660-18,20211123
한림읍,하늘고래앤드,제주시 한림읍 협재1길 61,20211123
한림읍,위너민박,"제주시 한림읍 한림로 354, 4층",20211123
한림읍,이디오랜,제주시 한림읍 드르밧길 17,20211123
한림읍,제주야,제주시 한림읍 귀덕10길 3-22,20211123
한림읍,바당올레662,제주시 한림읍 한림해안로 662,20211123
한림읍,제주품에,"제주시 한림읍 명월성로 395, B동",20211123
한림읍,해노을,제주시 한림읍 어도봉남길 26-2,20211123
한림읍,씨즈더데이,제주시 한림읍 금능9길 6,20211123
한림읍,노을위 밥상,제주시 한림읍 동명7길 26-41,20211123
한림읍,알로하 스테이,제주시 한림읍 협재1길 24,20211123
한림읍,덕스테이,제주시 한림읍 귀덕3길 32,20211123
한림읍,보네르하우스,제주시 한림읍 대림10길 16,20211123
한림읍,구구스테이,제주시 한림읍 강구로 88,20211123
한림읍,월령 선인장,제주시 한림읍 월령1길 10,20211123
한림읍,소도락하우스,제주시 한림읍 명월성로 9-3,20211123
한림읍,팬안헌,제주시 한림읍 금능6길 9,20211123
한림읍,그래채,제주시 한림읍 귀덕동길 25,20211123
한림읍,장수곳,제주시 한림읍 금능9길 2,20211123
한림읍,풀벗아그리투리스모,제주시 한림읍 협재2길 93-14(1동),20211123
한림읍,경천민박,제주시 한림읍 협재2길 93-14(2동),20211123
한림읍,명월다락,제주시 한림읍 명상로 20,20211123
한림읍,화이트민박,제주시 한림읍 협재1길 60,20211123
한림읍,지현이네,제주시 한림읍 일주서로 5536-1,20211123
한림읍,마마스,제주시 한림읍 옹포4길 24(2동),20211123
한림읍,캠프올레,제주시 한림읍 명재로 119,20211123
한림읍,코드민박,제주시 한림읍 한림로 336,20211123
한림읍,어슬렁stay,제주시 한림읍 수원5길 26-4,20211123
한림읍,비치민박,제주시 한림읍 협재1길 53-4,20211123
한림읍,아는언니집,제주시 한림읍 귀덕11길 31,20211123
한림읍,협재의바람,"제주시 한림읍 협재2길 37-1, 215동",20211123
한림읍,귀덕귀덕,제주시 한림읍 귀덕남동1길 54,20211123
한림읍,마더하우스,제주시 한림읍 명월로 85,20211123
한림읍,마미호시,제주시 한림읍 금능6길 18-1,20211123
한림읍,산촌家,제주시 한림읍 누운오름로 60-5,20211123
한림읍,둥이민박,"제주시 한림읍 협재남4길 42-52, 7동",20211123
한림읍,코이노니아,제주시 한림읍 금능6길 19,20211123
한림읍,트라움하우스,제주시 한림읍 월령2길 67-21,20211123
한림읍,오롯하우스,제주시 한림읍 금능길 75,20211123
한림읍,지금여기에,제주시 한림읍 금능길 79,20211123
한림읍,협재홀라인,제주시 한림읍 한림로 197,20211123
한림읍,올드리버,제주시 한림읍 귀덕14길 57-4,20211123
한림읍,민박바당집,제주시 한림읍 협재1길 12,20211123
한림읍,마리,제주시 한림읍 협재10길 16,20211123
한림읍,연게스트하우스 애월협재점,"제주시 한림읍 일주서로 5673, 2층",20211123
한림읍,다락방편지,제주시 한림읍 명월로3길 2,20211123
한림읍,더스테이크리스마스(한림),제주시 한림읍 명월로3길 3,20211123
한림읍,귀덕,제주시 한림읍 귀덕로 18,20211123
한림읍,제주도게스트하우스파티협재안녕미키,제주시 한림읍 명재로 62-2,20211123
한림읍,호박2스테이민박,제주시 한림읍 금능9길 7,20211123
한림읍,여름의숲,제주시 한림읍 중산간서로 4995-11 (이동),20211123
한림읍,제주만석이펜션,제주시 한림읍 한림로 209,20211123
한림읍,맨션375,제주시 한림읍 명월로 75,20211123
한림읍,해피홈협재게스트하우스,제주시 한림읍 한림로 394,20211123
한림읍,나의첫단추,제주시 한림읍 한림로 483,20211123
한림읍,푸른달,제주시 한림읍 명월로2길 8,20211123
한림읍,말깡거리,제주시 한림읍 협재1길 29,20211123
한림읍,소못소랑,제주시 한림읍 금능길 81-2,20211123
한림읍,제주청년살이,제주시 한림읍 한림로 372-5,20211123
한림읍,제주협재클레르드륀,"제주시 한림읍 협재2길 93-21, 에이동",20211123
한림읍,stay AHHA,제주시 한림읍 옹포남2길 43,20211123
한림읍,퐁낭하우스 민박,제주시 한림읍 옹포3길 9-12,20211123
한림읍,토리네민박,제주시 한림읍 귀덕4길 100,20211123
한림읍,아이조아 팜스빌리지,"제주시 한림읍 귀덕7길 17, 109동 2호",20211123
한림읍,협재오늘,제주시 한림읍 명재로 32,20211123
한림읍,해안484,제주시 한림읍 한림해안로 484-1,20211123
한림읍,써니민박,제주시 한림읍 대림8길 47-42,20211123
한림읍,콩콩하우스,제주시 한림읍 한림로 225,20211123
한림읍,투윈썸민박,제주시 한림읍 금능남1길 30,20211123
한림읍,정감,제주시 한림읍 명월성로 137-11,20211123
한림읍,제주예쁜협재,제주시 한림읍 협재남 2길 45-60,20211123
한림읍,스테이 협재10길,제주시 한림읍 협재10길 3,20211123
한림읍,프롬협재,"제주시 한림읍 협재남6길 78-160, A동",20211123
한림읍,에스톤하우스,"제주시 한림읍 협재8길 22-24,105동",20211123
한림읍,제주라라하우스,제주시 한림읍 월령2길 67-15,20211123
한림읍,어쿠스틱맨션,제주시 한림읍 수원7길 65,20211123
한림읍,이가,제주시 한림읍 한림해안로7,20211123
한림읍,옥(ok)'s 하우스,제주시 한림읍 수원13길 34-42,20211123
한림읍,나무앤씨 키즈,제주시 한림읍 월령리 456-1,20211123
한림읍,첫줄안녕,제주시 한림읍 협재1길 57,20211123
한림읍,풀꽃 in 협재,제주시 한림읍 옹포2길 36-1,20211123
한림읍,금능서시,제주시 한림읍 한림로 201-1,20211123
한림읍,자유하는,제주시 한림읍 귀덕8길 26-15,20211123
한림읍,에스톤하우스106동,"제주시 한림읍 협재8길 22-26,106동",20211123
한림읍,유람스테이,제주시 한림읍 대림8길 63-28,20211123
한림읍,옥희전,제주시 한림읍 금능1길 23,20211123
한림읍,협재로181-148,제주시 한림읍 협재로 181-148,20211123
한림읍,1미리,제주시 한림읍 협재6길 22-4,20211123
한림읍,협재레게스트하우스 파티,제주시 한림읍 귀덕9길 5,20211123
한림읍,귀덕글라,제주시 한림읍 귀덕8길 36,20211123
한림읍,말로나 스테이,제주시 한림읍 귀덕11길 29,20211123
한림읍,쉬멍놀멍,제주시 한림읍 협재2길 30,20211123
한림읍,.Lo,제주시 한림읍 대림로 56-3,20211123
한림읍,더 여니,제주시 한림읍 명월성로 395 하우스품에4차 a동,20211123
한림읍,바니네민박집,제주시 한림읍 금능3길 28,20211123
한림읍,협재 바다와 하늘,제주시 한림읍 협재2길 37 105동,20211123
한림읍,소꼽놀이 하우스,제주시 한림읍 어도봉남길 30,20211123
한림읍,바디다,제주시 한림읍 협재2길 37 116동,20211123
한림읍,귀덕 온 담,제주시 한림읍 한림해안로 592-1 3층,20211123
한림읍,더 스테이 크리스마스(한림),제주시 한림읍 협재남6길 142,20211123
한림읍,제주도파티게스트하우스 협재정류장,제주시 한림읍 한림로 391,20211123
한림읍,누루세미,제주시 한림읍 한림중앙로 247-554,20211123
한림읍,jaltti,제주시 한림읍 한림로 337 4층,20211123
한림읍,제주스위트 민박,제주시 한림읍 금능길 58-3,20211123
한림읍,협해림2,제주시 한림읍 명월성로 258-13,20211123
한림읍,쉼127협재점,제주시 한림읍 옹포남2길 25,20211123
한림읍,알콩제주,제주시 한림읍 협재2길 37-1 214동,20211123
한림읍,슬라맛,제주시 한림읍 협재2길 37-1 216동,20211123
한림읍,나른,제주시 한림읍 옹포4길 61 1동,20211123
한림읍,제주 모먼트,제주시 한림읍 한림로 419-1,20211123
한림읍,힐타워,제주시 한림읍 동명7길 64-2,20211123
한림읍,마제스티,"제주시 한림읍 옹포2길12 3층, 4층",20211123
한림읍,솔바람하우스,제주시 한림읍 협재로 210-48,20211123
한림읍,Ryuwol,제주시 한림읍 금능1길 2-15,20211123
한림읍,힐,제주시 한림읍 동명7길 64,20211123
한림읍,어울다,제주시 한림읍 협재1길 63,20211123
한림읍,콤포스텔라,제주시 한림읍 귀덕14길 187-1,20211123
한림읍,봉쥬르봉봉,제주시 한림읍 한림로 408-2,20211123
한림읍,골오기네뜰,제주시 한림읍 중산간서로 3898,20211123
한림읍,제주시절,제주시 한림읍 금능길 82,20211123
한림읍,선인장을 부탁해,제주시 한림읍 월령안길31 1층,20211123
한림읍,소담 하우스,"제주시 한림읍 명월성로 395 ,O동",20211123
한림읍,협재별채,제주시 한림읍 일주서로 5167,20211123
한림읍,제주 민스희가,제주시 한림읍 협재남4길 42-48,20211123
한림읍,위하여,제주시 한림읍 협재1길 55-14,20211123
한림읍,단잠 게스트하우스,제주시 한림읍 귀덕14길 56,20211123
한림읍,푸르다 오션 민박,제주시 한림읍 월령3길 39-3,20211123
한림읍,다올,제주시 한림읍 협재남6길 63,20211123
한림읍,한림속 하루,제주시 한림읍 중산간서로 3900,20211123
한림읍,로맨틱 제주,제주시 한림읍 귀덕14길 88,20211123
한림읍,게으른 오후,제주시 한림읍 중산간서로 4620,20211123
한림읍,달 안 별채,제주시 한림읍 대림로 33-3,20211123
한림읍,귤한가,제주시 한림읍 명월성로 234-1,20211123
한림읍,동행 in 협재,제주시 한림읍 협재1길 27,20211123
한림읍,달콩 제주,제주시 한림읍 협재2길37 107동,20211123
한림읍,Coda,제주시 한림읍 수원7길 63,20211123
한림읍,바다와 숲,제주시 한림읍 협재남6길 78-160 D동,20211123
한림읍,명월민박,제주시 한림읍 명월로4길 5,20211123
