name,addr,intro,tag,facility
제주 코지펜션,제주특별자치도 제주시 애월읍 애월해안로724,"안녕하세요, 제주 코지펜션입니다.푸른 바다가 손에 잡힐 듯 펼쳐진 곳, 환상적인 바다전망이 보이는 코지펜션에서 푸른 제주 바다의 꿈을 담아드립니다. 드넓은 바다를 바라보며 느끼는 여유, 가족과 함께 행복한 추억을 선물하는 시간, 코지펜션에서 만들어보세요.코지펜션 100m 인근에 관광지로 유명한 구엄리 돌염전 있습니다.","주차가능
바베큐
와이파이
복층구조
매점/편의점","복층· 아동,유아 동반 시 안전에 유의하시길 바랍니다.IPTV/WiFi· 객실에서 데이터 걱정 없이 빠르고 편리하게 인터넷을 즐겨보세요!· 사용 가능 객실 : 전 객실 이용 가능바비큐장· 사랑하는 사람과 맛있는 바비큐파티를 즐겨보세요 !★★ 바베큐 맛집 !! ★★· 이용 시간 : 17:00 ~ 21:00시 까지· 이용 장소 : 바비큐장※ 숯+그릴 요금 : 20,000원(1회 기준)· 예약 : 사전 예약※ 이용 시 유의사항· 바비큐 장소가 한정되어 있어 먼저 예약하신 분들을 우선으로 합니다.· 현장 결제이며, 화재에 유의하시기 바랍니다.매점/편의점· 운영 장소· 펜션과의 거리 : 도보로 1분 내 위치 (GS편의점)· 갯바위 낚시- 낚시대 대여 가능합니다.주차가능· 펜션 내에 주차 가능한 공간이 있습니다.· 주차 가능 대수 : 5대 이상 가능· 전기차 충전기 사용 가능펜션즐기기[주변관광지]· 애월항 : 7.19km· 곽지해수욕장 : 9.42km· 항몽유적지 : 7.14km· 이호테우해수욕장 : 8.28km· 제주공룡랜드 : 9.12km. 구월리 돌염전 : 100m· 상기 안내된 거리는 자동차 기준으로 표기된 점 참고 바랍니다."
서귀포 제이큐브펜션,제주특별자치도 서귀포시 안덕면 대평감산로 55,"안녕하세요. 서귀포 제이큐브펜션입니다.사랑하는 연인, 가족과 함께 제주의 정취를 마음껏 느끼실 수 있는 제이큐브 펜션입니다.","애견동반
주차가능
바베큐
와이파이
복층구조
객실금연
매점/편의점","복층IPTV/WiFi- 인터넷- 무료 wi-fi객실금연바비큐장[ 바 베 큐 ]전 객실 펜션 건물 옆 실외 테라스에서 공동 바베큐장 이용가능합니다.* 우천, 강풍시에는 불가합니다.(우천시에는 따로 마련된 공용 바베큐장 1팀만 이용 가능)바베큐 이용 시간 : 오후 5 ~ 10시까지숯불요청 시간 : 오후 5시 ~ 9시 전[ 숯, 그 릴 비 용 ]구성 : 숯 그릴 집게 가위 장갑가격 : 1set 2인 20,000원 (1인 추가시 5,000원)[ 바 베 큐 가 스 그 릴 ]가스그릴 1set 2인기준 20,000원(1인 추가시 5,000원) / 1층 공동 바베큐장 이용 가능바베큐 이용 시간 : 오후 5 ~ 10시까지매점/편의점[ 마 트 ]펜션 내 매점이 없습니다.도보 5분 거리에 편의점이 있습니다.차량 10~15분 거리에 농협하나로마트가 있습니다.반려동물이용 요금: 마리당 4KG미만 20,000원 / 4KG~10KG : 25,000원※ 고양이는 입실불가하며 부득이한 경우 체중계 중량 4KG미만만 허용 (1박기준 30,000원)※ 케이지 및 애견용품 개인지참 필수주차가능"
제주 길리리조트,제주특별자치도 제주시 한림읍 명재로 100-47,"안녕하세요.물빛 예쁜 협재해수욕장 차량 5분 거리의 길리 리조트는 동남아 휴양지인 길리 섬에 온 듯한 감성을 느끼실 수 있습니다.1300여 평의 대지에 200여 개의 야간 조명이 열대 야자수 등 동남 아풍 조경을 비추고 있어 어디서든 멋진 사진을 찍으실 수 있습니다.히노끼탕에서 통창을 통해 귤밭 와 돌담을 볼 수 있는 커플룸, 4인 가족을 위한 패밀리 침대가 있는 넓은 호텔식 객실이 있으며 특히 편백나무 향 가득한 독채 빌라동에는 전용 야외 가든이 있어 프라이빗 한 시간을 즐기실 수 있습니다.","주차가능
개별바베큐
바베큐
히노끼탕
와이파이
독채객실
객실금연
어메니티
커피숍
투어","개별바비큐● 프라이빗 가든에서 낭만적인 시간과 바비큐를 즐기실 수 있습니다.▷ 빌라동 전용독채객실IPTV/WiFi● 무선인터넷 사용 가능객실금연● 객실 내 절대 금연이며 흡연 시 실내클리닝 비용 200,000원이 부과됩니다.어메니티● 전 객실 어메니티와 커피 머신을 사용하실 수 있습니다.바비큐장● 바비큐장 이용 안내▷ 바비큐 이용 시 숯+그릴 사용비는 30,000원입니다. (현장 결제, 사전예약 필수)ㅡ 기본 조미료 제공 (소금, 후추, 허브솔트)▷ 야외에 공동 바비큐장이 마련되어 있습니다. (빌라동은 야외 개별 바비큐장 단독 사용)▷ 오후 6시까지 바비큐 숯 준비가 가능합니다.▷ 숯 추가는 저녁 7시까지 가능, 숯 이용 마무리는 10시까지 입니다.▷ 일몰 시간에 따라 이용 시간의 변동은 있을 수 있습니다.▷ 개인 화기류, 숯, 그릴, 버너 등의 반입은 불가합니다.카페● 길리 카페▷ 자유롭게 이용 가능한 공용 셀프 바 (커피, 차, 제빙기, 정수기 등 이용 가능)히노끼탕● 히노끼탕 안내▷ 히노끼탕은 디럭스룸(히노끼탕 A201, A202, A203호)과 프리미어 스위트룸(히노끼탕 C201호) 객실에만 있습니다.▷ 입욕제는 사용하실 수 없습니다. (히노끼탕이 변질됩니다)▷ 입욕제 사용 적발 시 히노끼탕 손상 비용을 청구합니다.주차가능● 펜션 내에 주차 가능한 공간이 있습니다.투어● 투어 안내▷ 협재해수욕장 : 펜션에서 차량으로 5분▷ 한림공원 : 펜션에서 차량으로 7분▷ 금능해수욕장 : 펜션에서 차량으로 7분▷ 신창 풍차 해안 도로 : 펜션에서 차량으로 14분펜션즐기기발리 길리 섬을 모티브로 한 제주 속 발리200여 개의 조명이 사진 속 당신을 아름답게 비춰드립니다.호텔식 구스다운 침구가 준비되어 있습니다.편안한 휴식을 위한 공간이 될 수 있도록 준비합니다."
제주 블루엘스파&풀펜션,제주특별자치도 제주시 애월읍 신엄안2길 54-1,"안녕하세요. 애월 해안 도로에 위치한 스파펜션 블루엘입니다.심플하고 감성적인 인테리어의 객실과 매일매일 다른 빛을 내는 제주의 고운 하늘과 바다를 담은 테라스 24시간 언제든 따뜻한 온수로 스파를 즐기실 수 있는 실내 미니 풀 한라산 뷰의 2층 야외 바비큐 플레이스 등의 시설을 갖추고 있어요저희 블루엘은 공항에서 펜션까지 30분 정도 소요되어요20분 거리에 협재, 곽지, 금능 해수욕장이 있습니다.펜션에서 1분 걸어서 내려가시면 해안 도로, 공원, 편의점, 기념품 가게, 맛집, 카페 등 즐길거리가 많아요블루엘에서 예쁘고 행복한 순간들을 가득가득 채워가시길 바래요 :)","스파/월풀/욕조
주차가능
오션뷰
바베큐
와이파이
복층구조
독채객실
객실금연","스파/월풀● 스파 이용 안내▷ 24시간 이용 가능한 실내 온수 스파(개별)▷ 컬러 및 펄이 들어간 가루 입욕제는 사용하실 수 없습니다. (액상 입욕제만 가능)▷ 타일 욕조라 착색이 되어 전문 청소 비용 100,000원 청구됩니다.복층독채객실IPTV/WiFi바다전망객실금연바비큐장● 바비큐장 이용 안내▷ 숯+그릴 요금 : 2인 기준 20,000원 (현장 결제)▷ 2층 한라산 뷰 야외 테라스 바비큐 (공용)주차가능펜션즐기기● 공동주방 없습니다."
제주 어느멋진날풀빌라(23년신축),제주특별자치도 제주시 애월읍 애월해안로 927,"공항에서 15분 거리. 애월해변에 자리한 제주 어느멋진날 풀빌라&료칸은 환상적인 파노라마 오션뷰와 붉은 노을의 석양을 감상할 수 있는 아름다운 해변 풀빌라&료칸 입니다.애월 해안도로를 따라 펼쳐진 이국적 풍경과 유명맛집과 낭만적인 카페들이 이어지며, 유명관광명소도 둘러볼 수 있는 매력적인 감성여행 지역입니다.함께하는 이가 더욱 소중해 지는 선물같은 힐링공간... 제주 애월 어느멋진날 풀빌라&료칸에서 추억의 시간을 함께 하시길 바랍니다.*인스타주소:https://instagram.com/one_fineday.aewol*동영상주소:https://www.youtube.com/watch?v=u4hldHF1Yiw","프리미엄펜션
주차가능
오션뷰
풀빌라
무료영화(OTT)
스타일러
노천탕
히노끼탕
야외테라스
프로젝터
객실금연
매점/편의점
어메니티
커피숍
상비약","무료영화(OTT)오션뷰야외테라스객실금연어메니티스타일러풀빌라프리미엄펜션빔프로젝트카페매점/편의점노천탕* 야외 자쿠지 사용 시 (20,000원)히노끼탕상비약주차가능"
제주 소담향펜션,제주특별자치도 제주시 한림읍 협재로 210-31,"저희 소담향은 소나무와 담벼락 향기의 준말입니다.숙소명처럼 주위에 소나무 숲과 예쁜 담벼락에 둘러쌓여 있어손님들에게 천연 공기와 편안한 휴식 공간을 제공하는 신축건물입니다.거실, 주방, 세탁실, 방(3개), 화장실(2개), 다락방 (3인거주)으로 구성되어 있으며,와이파이 및 냉난방을 구비하였고 편백나무와 천연 흙소재 타일로실내공간을 연출하여 과거와 현재가 공존하는 느낌을 갖게합니다.손님들께서 특별한 추억을 쌓을 수 있도록 우천시에도 야외에서 바비큐를 할 수 있도록 하였으며,제주도에서 가장 아름다운 풍광을 자랑하는 협재 해수욕장도 차로 5분안에 이동할 수 있으며,녹차박물관, 한림공원 등과 같은 명소도 15분안에 갈 수 있습니다.뿐만 아니라 손님들께서 세탁 할수 있는 세탁기와 건조기도 대형으로 구비하고 있습니다.좀 더 나만의 공간, 우리들만의 시간을 자연 속에서 누리고 싶은 고객님을 초대합니다.","주차가능
개별바베큐
해수욕장인근
와이파이
복층구조
독채객실
무료세탁","개별바비큐● 바베큐를 하기위한 장비 및 숯 번개탄 제공해드립니다. (1회당 : 30,000원)복층● 유아, 아동 동반 시 안전에 유의바랍니다.독채객실● 신축 건물입니다IPTV/WiFi● IPTV/WIFI▷ 객실에서 데이터 걱정 없이 빠르고 편리하게 인터넷을 즐겨보세요!▷ 사용 가능 객실 : 전 객실 이용 가능주차가능● 3대까지 주차 가능시설 완비무료세탁● 바다를 다녀오신 후 세탁할 수 있도록 세제 및 세탁기/건조기 제공해드립니다.해수욕장인근● 협재해수욕장 인근"
서귀포 오앤비팜스테이펜션(12월 요금할인 이벤트),제주특별자치도 서귀포시 남원읍 하례학림로 86,"제주의 감귤 농장 속 가족 독채 펜션인 오앤비팜입니다.밀감 수확철에는 체험도 무료로 가능하며, 집안 식탁에서 한라산 마운틴뷰를 볼 수 있습니다.집 앞 산책로에 100년 넘은 아름드리 밤나무와 한라산에서 쇠소깍까지 흐르는 천연계곡의 물소리만으로 여름을 시원하게 보낼 수 있답니다.숙소 주변 5분~15분 거리 돈내코, 번개 과학체험관, 감귤 박물관, 휴애리, 한라산 성판악, 코코몽 에코파크, 서귀포 올레시장, 이중섭거리, 허니문하우스, 정방폭포, 서귀포 잠수함 등 볼 것이 많으며, 여름 시즌엔 간이 풀장도 운영하고 있습니다.","주차가능
개별바베큐
수영장
와이파이
독채객실
객실금연","개별바비큐● 바비큐 이용 안내▷ 숯+그릴+토치+장갑 요금 : 20,000원▷ 이용 시간 : 24시간▷ 현장 결제이며, 화재에 유의하시기 바랍니다.▷ 자세한 내용은 펜션 사전 문의독채객실● 유아, 아동 동반 시 안전에 유의 바랍니다.IPTV/WiFi● 객실에서 데이터 걱정 없이 편리하게 인터넷을 즐겨보세요!▷ 객실 이용 가능객실금연● 객실 내에서는 절대 금연입니다.수영장● 이용 안내▷ 이용 장소 : 간이 풀장▷ 운영 일자 : 여름 시즌▷ 이용 요금 : 무료▷ 어린이는 반드시 보호자 동반 시 이용이 가능합니다.주차가능● 주차 가능한 공간이 있습니다."
서귀포 가문유메펜션,제주특별자치도 서귀포시 염돈로 63-6,안녕하세요. 서귀포 가문유메펜션입니다.,"스파/월풀/욕조
애견동반
주차가능
바베큐
와이파이
복층구조","스파/월풀● 반짝이, 꽃잎, 색소, 약초 등 찌꺼기 포함된 개인입욕제 불가능복층IPTV/WiFi바비큐장● 숯불 바비큐 이용 안내▷ 바비큐 세트 그릴 설치, 숯불 세팅 요금 30,000원▷ 바비큐 요금은 체크인 후 현장 결제입니다.▷ 숯과 그릴 사전 주문 시 세팅 해 드립니다.▷ 숯불은 본인이 직접 점화 사용하시면 됩니다.▷ 조용한 주택가이므로 밤 10시 이후 야외 바비큐 파티 및 숯불 사용 금지입니다.반려동물● 애견 동반 이용 안내▷ 소형견만 가능▷ 자세한 내용은 펜션 문의 부탁드립니다.주차가능● 숙소 바로 앞 주차펜션즐기기● 1~3층으로 이루어진 구조입니다.● 독채를 원할 시 1, 2, 3층을 모두 예약해주세요!"
서귀포 마린포트리조트,제주특별자치도 서귀포시 이어도로 744,저희 마린포트 리조트를 찾아 주셔서 감사합니다.제주도의 아름다운 자연환경과 어우러지는 마린포트리조트는 휴식을 위해 찾아오신 방문객 여러분들께 편안함을 드리기 위해 노력하고 있습니다.고객님이 만족하실 때까지 노력하는 서비스 또한 저희가 자부하는 부분입니다. 아름답고 편안한 고품격 리조트에서 즐거운 여행이 되셨으면 좋겠습니다. 감사합니다.,"주차가능
오션뷰
조식운영
바베큐
와이파이
트윈베드","IPTV/WiFi· 객실에서 데이터 걱정 없이 빠르고 편리하게 인터넷을 즐겨보세요!오션뷰트윈베드바비큐장· 이용 장소 : 야외 바비큐장· 이용 시간 : 시 ~ 시까지※ 숯+그릴 요금 : 20,000원(자세한 사항은 카운터 문의)조식서비스* 조식을 원하시는 경우 현장에서 별도 요청 받습니다.- 1인 5,000원(36개월~성인) / 현장결제- 메뉴 : 빵, 음료(커피,주스,음료), 계절과일, 삶은달걀, 시리얼 등- 이용시간 : 08:00~09:00※ 이용 시 유의사항· 메뉴는 사정상 변경될수있습니다.주차가능펜션즐기기[인근 대표 관광지]· 중문관광단지 및 서귀포 시내권(차량 5분거리)· 서귀포월드컵경기장 및 이마트(차량 5분거리)· 외돌개· 천지연폭포(차량 10분 거리)[기타사항]· 공용PC존, 휴게공간 따로 마련되어 있습니다."
제주 아쿠아뷰티크풀빌라(월정리),제주특별자치도 제주시 구좌읍 해맞이해안로 526,"Aqua는 라틴어(영어)로 물, Beautique는 Beautiful과 Boutique의합성어입니다. Aqua BEAutique의 슬로건은 BEA(Beautiful Experience for All) 로써, 모두에게 아름다운 경험을 제공하고싶은 마음을 표현했습니다.스트레스가 가득한 바쁜 일상을 벗어나 아름다운 푸른 해변, 청결한 스테이 및 개인 풀까지 모두 동시에 즐기기에는 기존 호텔 및 풀빌라는 비용이 다소 부담되어 특별한 날 이외에는 사용하기 어려웠을 것으로 사료됩니다.아쿠아뷰티크는 불필요한 공간 및 부대시설을 축소함으로써 숙박 요금을 모든 대중들에게 알맞게, 스테이는 알차게 커스터마이징 되었습니다. 아쿠아뷰티크의 객실은 봄 여름 가을 가동되는 개인 풀이 있으며 100% 바다 전망은 물론, 풀빌라 위치 특성상 삼면바다가 시야의 180도를 가득 채우고 있습니다.200미터 채 안되는 위치에 보석 에머랄드 빛깔의 월정리 해수욕장이 한 눈에 보이는 그 경관은 사진으로 표현하기에는 너무 아깝고 현장에서 혼자보고 그냥 지나치기에는 더아깝습니다. 꼭 사랑하는 이들과 함께 보시길 바랍니다.","프리미엄펜션
주차가능
개별바베큐
오션뷰
조식운영
수영장(온수/미온수)
풀빌라
해수욕장인근
바베큐
독채펜션
트윈베드
독채객실
패밀리
객실금연","개별바비큐· 이용요금 : 2 ~ 3인 기준 30,000원 / 4 ~ 5인기준 40,000원(그릴, 숯, 쌈장, 소금장, 김치, 밥, 가위, 집게, 와인잔(오프너) 제공· 기상상황에 따라 취소 될수 있음· 객실 내부에서는 취사 불가독채펜션독채객실오션뷰트윈베드객실금연풀빌라프리미엄펜션수영장(온수/미온수)· 미니풀 미온수· 이용요금: 7만원, 30도 (체크인 전날까지 사전예약 시 사용가능 / 입실 당일 오전 10시까지 취소 가능 / 온수 2박 이상 예약 시 1박당 6만원)· 12월~3월까지는 수영장, 미온수 이용 불가· 요청사항에 기입하셔서 온수신청하셨어도, 최소 체크인 전날까지는 유선으로 원하시는 시간과 함께 신청부탁드립니다.· 미니풀 미온수 과정 : 청소/풀히팅 6시간이상 소요 (기상에 따라 취소 될수 있음 [비, 바람, 날씨 15도 이하])· 추가: 수건 / 물 : 장당 / 개당 1000원바비큐장조식서비스주차가능패밀리해수욕장인근"
제주 애월바다향기펜션,제주특별자치도 제주시 애월읍 일주서로 6847,애월 바다향기 펜션은 2015년 4월에 오픈하였으며 깔끔하고 쾌적한 시설을 자랑하는 펜션입니다.제주공항에서 15분 거리에 위치하고 있습니다(교통상황에 따라 시간이 조금 더 소요될 수 있습니다)전객실 먼바다 전망으로 아름답고 푸르른 제주 애월의 바다를 한눈에 감상하실 수 있습니다.친환경 3층 목조 주택으로 지어진 애월바다 향기 펜션에서 편안하고 즐거운 시간 보내시기 바랍니다.,"주차가능
바베큐","바비큐장· 이용 시간 : 18시 ~ 22시까지· 이용 장소 : 공용 바베큐장※ 숯+그릴 요금 : 20,000원(2인 기준) /· 우천시 이용불가· 한겨울에 바베큐 이용 불가 (이용 불가기간 : 11월~2월)주차가능펜션즐기기· 제주공항에서 15분거리에 위치해 있습니다.· 전 객실 영유아 포함 3인이상 입실불가합니다.[ 인 근 슈 퍼 ]· 도보 5분 거리에 슈퍼가 있습니다.· 차량 5분 거리에 농협 하나로마트가 있습니다.[ 등 산 로 및 산 책 로 ]· 도보 10분거리에 대섭공원이 있습니다.· 제주올레길 16코스[ 인 근 대 표 관 광 지 ]· 애월해안도로 / 협재해변 / 곽지과물해변 / 함림공원 / 러브랜드 / 용두암 / 제주올레길 16코스 / 새별오름 / 한담해변산책로"
제주 아마빌레펜션,제주특별자치도 제주시 애월읍 애월해안로 909,"제주도 여행의 처음과 마지막을 아마빌레 펜션과 함께...공항에서 차로 15분 거리의 서쪽 해안 도로에 위치한 바다 빛 둥지 펜션. 눈뜨면 손에 닿을듯한 푸른 바다와 빨간 등대가 한 폭의 그림이 되고, 귓가를 맴도는 잔잔한 파도 소리는 아름다운 선율이 되어 제주도의 여행을 행복한 시간으로 만들어 드립니다.● 주인장의 귓속말▷ 전 제 집이 아닌 곳에서 편히 잠을 못 자는 까다로운 성격이에요.▷ 아마빌레 펜션 초대해요.▷ 약속해요, 내 집에 머무는듯한 편안함과 청결함을 함께.","주차가능
해수욕장인근
와이파이
매점/편의점",IPTV/WiFi● 객실에서 데이터 걱정 없이 빠르고 편리하게 인터넷을 즐겨보세요!▷ 사용 가능 객실 : 전 객실 이용 가능▷ 객실 내 IPTV 설치되어 있습니다.매점/편의점● 주변 마트▷ 하나로마트 차량 5분 거리에 있으며 작은 슈퍼가 도보 3분 거리에 있습니다.주차가능● 펜션 내에 주차 가능한 공간이 있습니다.▷ 주차 가능 대수 : 10대 주차 가능해수욕장인근● 차량 20분 거리에 곽지 과물해수욕장이 있습니다.● 차량 25분 거리에 협재해수욕장이 있습니다.펜션즐기기● 펜션 인근에 제주올레 16코스가 있습니다.● 펜션 인근 방파제에서 바다낚시가 가능합니다.▷ 낚싯대는 개별 지참
제주 미아독채풀빌라,제주특별자치도 제주시 애월읍 유수암북길 98,안녕하세요. 제주 미아독채풀빌라입니다.,"프리미엄펜션
주차가능
개별바베큐
풀빌라(온수/미온수)
독채펜션
공기청정기
스타일러
와이파이
야외테라스
독채객실
객실금연","개별바비큐- 개별바비큐 : 숯+그릴 1박 50,000 원 (인원수상관없음 / 현장결제)- 바베큐 준비시간 : 입실 ~ 19시- 바베큐 이용시간 : 입실 ~ 23시- 바베큐는 제주지역 특성상 기상상황(태풍,집중호우)에 따라 고객님들의 안전상 이유로 이용이 불가 할 수 있습니다.독채펜션독채객실IPTV/WiFi야외테라스객실금연공기청정기스타일러풀빌라(온수/미온수)- 야외 수영장 미온수 필수 사용 / 현장결제 (입실 ~ 21시까지 사용가능)- 온도 : 28도~30도독채 A : 1박 100,000 원 (12월~2월 말까지 야외 수영장 이용불가)독채 B : 1박 70,000 원프리미엄펜션주차가능펜션즐기기- 기준 인원 외 인원추가요금 (1박당/현장결제)1인 30,000 원※ 제주지역 특성상 기상상황(태풍,집중호우)에 따라 고객님들의 안전상 이유로 수영장 및 바베큐장 이용이 불가 할 수 있습니다.이 점 양해 부탁드립니다."
서귀포 바산올레애견동반펜션,제주특별자치도 서귀포시 안덕면 대평로 29,"안녕하세요. 서귀포 바산올레애견동반펜션입니다.대평리 바산올레펜션은 제주의 중심지 중문 관광단지와화순해수욕장 중간에 위치하고 있으며 올레 8코스 종점과올레 9코스시작점, 바닷가 포구마을 대평리에 소재하고 있으며,제주도 최남단의 아름다운 콘도형 고급 펜션입니다.","애견동반
주차가능
바베큐
와이파이
객실금연
커피숍","IPTV/WiFi- 전객실 와이파이객실금연바비큐장바베큐는 4인까지 20,000원 , 5~8인 25,000원, 단체인원은 현장협의숯불 신청시간 21시까지바베큐장 이용시간 22시 30분까지숯 그릴 개인지참 불가카페[니나수 옹기족욕 카페]펜션 3층 족욕카페 : 펜션 투숙객 한정 20% 할인 제공 / 무료 tea제공이용시간 : 오전 11시 ~ 오후 7시- 족욕 : 스페셜 코스 15,000원- 전신욕 : 2인기준 50,000원* 커피 및 음료는 판매하지 않습니다반려동물[ 애 견 동 반 ]애견동반을 원할 경우 사전 문의 및 상담 필수3박까지는 kg/1박당 요금 지불4박 이상 부터는 3박까지의 요금만 받고 추가비용 발생되지 않습니다.1박 요금(현장결제): 10kg 이하 1마리 20,000원 / 10kg 이상 1마리 30,000원2박이상(연박)시: 10kg 이하 1마리 10,000원 / 10kg 이상 1마리 20,000원애견 외 애완동불(고양이 등) 동반 절대 불가전객실 동반입실 가능모든 객실 애견은 최대 2마리까지 수용 가능하며, 14평형은 2마리 모두 소형견일 경우 가능(예. 6kg, 2kg 동시 입실 불가, 현장에서 확인시 환불 불가)애견 용품 개별 준비 필수종량제 봉투에 배변패드 등 분리수거 필수※애견 쿠션, 배변패드, 애견 밥그릇 무료 제공주차가능펜션즐기기★ 객실 안내사항 ★32평객실, 37평 A,B , 43평 객실 화장실 2개이나 샤워는 한곳에서만 이용 가능합니다.이용에 참고부탁드립니다."
"제주 바다,비펜션",제주특별자치도 제주시 한경면 용수3길 67,"노을이 아름다운 제주 서쪽 마을의 프라이빗한 독채 펜션입니다.펜션 동쪽으로 협재 해수욕장(비양도)과 가깝고 애월까지 40분이내이며 인근 관광지로는 신창풍차해안도로, 싱계물공원, 차귀도,수월봉, 엉알해안 등이 있습니다. 또한 오설록, 신화월드, 마라도/가파도,송악산, 산방산 등이 30분 이내의 거리에 있어 제주 서쪽 관광을하기에 안성맞춤인 위치에 있습니다.","프리미엄펜션
스파/월풀/욕조
주차가능
개별바베큐
노래방
독채펜션
독채객실","스파/월풀* 편백나무향이 가득한 2인용 버블스파(월풀)- 동절기(12월~2월) 이용 불가개별바비큐* 외부 바베큐장 2 곳(바다뷰 1 / 테라스 1)숯/그릴 등은 개별 준비(셀프 점화)강풍/우천시/동절기 등에는 이용 불가(동절기 12월~02월)11월부터 바람이 강해지기에 사전에 가능 여부 확인 바랍니다.동절기에 날씨가 좋을 때는 이용 가능합니다.독채펜션독채객실프리미엄펜션노래방* 에코 빵빵한 singing room주차가능펜션즐기기해당 시설은 모두 무료로 제공해 드려요.[주변관광지]펜션 동쪽으로 판포포구/협재와 가깝고 애월까지 40분 이내이며인근 관광지로는 신창풍차해안도로, 싱계물공원, 차귀도, 수월봉,엉알해안 등이 있습니다. 또한 오설록, 신화월드, 마라도/가파도,송악산, 산방산 등이 30분 이내의 거리에 있어 제주 서쪽 관광을하기에 안성맞춤인 위치에 있습니다."
제주 협제주스테이펜션,제주특별자치도 제주시 한림읍 협재1길 57,안녕하세요. 제주 협제주스테이펜션입니다.협제주스테이는 제주 노을의 명소 협재해수욕장에 위치한 전 객실 오션뷰 펜션입니다.저희 펜션은 복층구조의 룸으로 나선형의 계단을 따라 침실로 올라가시면 명품 브랜드 매트리스와 매일 세탁하는 폭신한 침구로 편안한 잠자리를 제공드릴 겁니다.,"주차가능
오션뷰
해수욕장인근
복층구조
객실금연
매점/편의점","복층바다전망● 전 객실 오션뷰객실금연매점/편의점● 편의점 : 도보 5분 내 이용 가능주차가능● 건물 내 전용 주차장해수욕장인근● 도보 7분 거리 협재해수욕장펜션즐기기● 협재 핫플 맛집으로 수우동, 강식당, 호텔샌드, 스타벅스 등이 바로 옆에 위치하여 도보로 이동 가능"
제주 셉템버미니펜션,제주특별자치도 제주시 구좌읍 행원로4길19-31,"제주도 동쪽 조용한 마을 안에 위치한 원룸형 미니 펜션입니다.원룸식이라 여럿이 사용하지 않고 작지만 알찬 나만의 공간에서 충분히 휴식을 취하실 수 있어요.조용한 시골 마을 안에 위치해서 제주를 좀 더 깊게 느끼실 수 있으실 거예요.바다가 너무 이쁜 월정리 해변까지는 산책 삼아 걷기 좋은 거리, 도보로 10~15분 거리랍니다.","주차가능
와이파이",IPTV/WiFi● 전 객실에서 데이터 걱정 없이 빠르고 편리하게 인터넷을 즐겨보세요!주차가능● 펜션 내에 주차 가능한 공간이 있습니다.
제주 에메랄드호텔에이스펜션,제주특별자치도 제주시 오복5길 4,제주공항 차량 10분거리에 위치한 에메랄드호텔에이스 입니다.사랑하는 사람들과 즐거운 추억 만들어가세요.,"주차가능
와이파이
흡연구역
매점/편의점",IPTV/WiFi전 객실 Wi-Fi 사용 가능매점/편의점마트 : 차량 6분(하나로마트)편의점 : 도보 1분(CU)흡연구역객실 내 절대 금연주차가능전용 주차장 마련펜션즐기기이호테우해수욕장 8km도두봉 8.4km도두동무지개해안도로 8.8km
제주 그섬에펜션,제주특별자치도 제주시 애월읍 하광로 480-4,"동백꽃, 바다, 곶자왈, 소박한 들꽃이 있는 오름, 잠시 머물곳이라도 오래도록 기억되기를...제주특별자치도 제주시 애월읍 하광로 480-3 해당 주소로 네비찍고 오셔야 쉽게 찾으실 수 있습니다~","주차가능
바베큐
와이파이
복층구조","복층· 아동,유아 동반 시 안전에 유의하시길 바랍니다.IPTV/WiFi· 객실에서 데이터 걱정 없이 빠르고 편리하게 인터넷을 즐겨보세요!· 사용 가능 객실 : 전 객실 이용 가능바비큐장· 사랑하는 사람과 맛있는 바비큐파티를 즐겨보세요 !· 이용 시간 : 16:00시 ~ 22:00시 까지· 이용 장소 : 야외 바비큐장※ 숯+그릴 요금 : 20,000원(4인기준), 그릴, 숯, 석쇠, 토치 제공(고기 및 야채등은 고객준비)· 예약 : 사전 예약 필수※ 이용 시 유의사항· 기상상황에 따라 이용이 제한될 수 있습니다.· 화재에 유의하시기 바랍니다.주차가능· 펜션 내에 주차 가능한 공간이 있습니다.· 주차 가능 대수 : 7대 가능펜션즐기기[주변관광지]· 렛츠런파크 : 5.96km· 제주공룡랜드 : 802m· 새별오름 : 12.93km· 성이시돌목장 : 17.41km· 러브랜드 : 8.14km· 더럭분교 : 9.38km· 상기 안내된 거리는 자동차 기준으로 표기된 점 참고 바랍니다."
