이름,별점,태그,링크,리뷰수,리뷰내용,리뷰날짜,리뷰별점,리뷰태그
성산일출봉(UNESCO 세계자연유산),5,#일출 #오름 #경관/포토,https://www.visitjeju.net/kr/detail/view?contentsid=CONT_000000000500349&menuId=DOM_000001718000000000#p1,611,"제주에 왔다면 한번쯤은 꼭 들르는 “성산일출봉” 날이 맑은 날이라면 꼭 일출을 보러 가보시길 추천드립니다! 요즘같은 겨울은 7시 10-20분쯤 일출이기때문에 적어도 6시에는 도착해서 산을 올라보세요👍 사람하나 없는 한적한 산이 무섭게 느껴지기도 하지만 하늘의 반짝이는 별들과 점점 밝아지는 하늘을 보면 기분좋은 하루를 시작할 수 있습니다 성산일출봉 정상에 올라 앉아서 땀을 식히다보면 해가 점점 떠오릅니다 아침해를 보며 상쾌하게 시작하는 하루, 제주 여행 중 기억에 남는 소중한 순간입니다",2023.12.02,5,"['#모먼츠인제주', '#제주', '#성산일출봉']"
성산일출봉(UNESCO 세계자연유산),5,#일출 #오름 #경관/포토,https://www.visitjeju.net/kr/detail/view?contentsid=CONT_000000000500349&menuId=DOM_000001718000000000#p1,611,성산일출봉은 댕댕동반이 안되어 탐방로는 못들어갔지만. 그앞에도 멋있었어요. 바람에 모자도 날라가고 ㅎㅎ 사진찍고 떠나자마자 비바람몰아침... 날씨 좋을때 다시 가보고싶어요.,2023.12.01,5,"['#성산일출봉', '#성산읍', '#성산']"
성산일출봉(UNESCO 세계자연유산),5,#일출 #오름 #경관/포토,https://www.visitjeju.net/kr/detail/view?contentsid=CONT_000000000500349&menuId=DOM_000001718000000000#p1,611,집 밖에 나가는것도 싫어하던 내가 첫 제주도에서 본 성산봉 일출 매일 뜨고 지는 해인데 이날은 왜 이리도 특별해 보였던건지 몇번의 일출을 보았지만 이날의 일출은 정말 가슴에 남았었네요,2023.11.30,5,"['##모먼츠인제주', '##제주', '##장소명']"
성산일출봉(UNESCO 세계자연유산),5,#일출 #오름 #경관/포토,https://www.visitjeju.net/kr/detail/view?contentsid=CONT_000000000500349&menuId=DOM_000001718000000000#p1,611,성산일출봉의 일출 왜 이름이 일출봉인지 알게 되었던 찰나의 순간,2023.11.29,5,"['#모먼츠인제주', '#제주', '#성산일출봉']"
성산일출봉(UNESCO 세계자연유산),5,#일출 #오름 #경관/포토,https://www.visitjeju.net/kr/detail/view?contentsid=CONT_000000000500349&menuId=DOM_000001718000000000#p1,611,성산일출봉 입구에서 바라보는 노을,2023.11.28,5,"['#모먼츠인제주', '#제주', '#성산일출봉']"
성산일출봉(UNESCO 세계자연유산),5,#일출 #오름 #경관/포토,https://www.visitjeju.net/kr/detail/view?contentsid=CONT_000000000500349&menuId=DOM_000001718000000000#p1,611,일출맛집 성산일출봉이지만 해질녘도 너무 예쁜 곳,2023.11.28,5,"['#모먼츠인제주', '#제주', '#성산일출봉']"
성산일출봉(UNESCO 세계자연유산),5,#일출 #오름 #경관/포토,https://www.visitjeju.net/kr/detail/view?contentsid=CONT_000000000500349&menuId=DOM_000001718000000000#p1,611,성산일출봉 뒷모습의 일몰과 노을,2023.11.26,5,"['#모먼츠인제주', '#제주', '#성산일출봉']"
성산일출봉(UNESCO 세계자연유산),5,#일출 #오름 #경관/포토,https://www.visitjeju.net/kr/detail/view?contentsid=CONT_000000000500349&menuId=DOM_000001718000000000#p1,611,차에서만 봤는데도 장엄하더라구요 너무 멋졌어요,2023.11.23,5,"['#모먼츠인제주', '#제주', '#성산일출봉']"
성산일출봉(UNESCO 세계자연유산),5,#일출 #오름 #경관/포토,https://www.visitjeju.net/kr/detail/view?contentsid=CONT_000000000500349&menuId=DOM_000001718000000000#p1,611,여름날 성산일출봉 정상에서,2023.11.22,5,"['#모먼츠인제주', '#제주', '#성산일출봉']"
성산일출봉(UNESCO 세계자연유산),5,#일출 #오름 #경관/포토,https://www.visitjeju.net/kr/detail/view?contentsid=CONT_000000000500349&menuId=DOM_000001718000000000#p1,611,제주도 필수 코스!,2023.11.01,5,"['##제주', '#성산일출보', '#여행']"
성산일출봉(UNESCO 세계자연유산),5,#일출 #오름 #경관/포토,https://www.visitjeju.net/kr/detail/view?contentsid=CONT_000000000500349&menuId=DOM_000001718000000000#p1,611,"성산일출봉 무료 구간 이용했고, 해녀의집 앞까지 내렸갔었습니다. 외국인, 내국인 많았고 날씨도 좋았고, 계단을 따라서 쓰레기를 줍는 직원도 계셨습니다. 다만 해안가 쪽에 플라스틱, 스티로품 조각들이 너무 많아서 세계자연유산에 걸맞지 않는 풍경이여서 너무 깜짝 놀랐습니다. 물병과 같은 플라스틱은 방문자이나 바다에서 밀려 왔다해도 바로 치워져야 맞고, 스티로폼 조각은 해녀의 집에서 사용한 흔적이 아닌가 싶습니다. 아름다운 자연을 감상하고자 내외국인들 방문한 곳인데 관리를 좀더 철저히 해서 쓰레기 처리가 바로 되었으면 합니다. 또한 음식물 반입 금지라고 붙여있었는데 막상 안쪽에서 음식을 먹는 사람들이 다수 있었습니다. 아름다운 제주를 지키를 위해서 방문자들과 관리자 모두 신경을 써 주셨으면 좋겠습니다.",2023.10.08,4,"['#쓰레기', '#스티로폼', '#바닷가쓰레기']"
성산일출봉(UNESCO 세계자연유산),5,#일출 #오름 #경관/포토,https://www.visitjeju.net/kr/detail/view?contentsid=CONT_000000000500349&menuId=DOM_000001718000000000#p1,611,성산일출봉 꼭 가봐야 하는 제주 추천지,2022.07.14,5,"['#성산일출봉', '#제주추천지', '#바다']"
성산일출봉(UNESCO 세계자연유산),5,#일출 #오름 #경관/포토,https://www.visitjeju.net/kr/detail/view?contentsid=CONT_000000000500349&menuId=DOM_000001718000000000#p1,611,관리운영이 개판에 엉망입니다. 7시반오픈이라 해뜨는 것도 못보고 아침에 맞춰 나갔더니 이미 수백명이 입장불가구역에서 내려오고 있더라고요. 무단입장인 데다가 해뜨는 경치까지 다 보고 내려오는 인파를 보면서 법과 규칙을 지키고 정당하게 돈내는 제가 바보같고 우스웠습니다. 여러분 여기 검표 엉망이고 새벽에 관리도 안되니까 아침에 돈내고 들어가면 바보입니다. 그렇게만 아세요.,2021.11.03,1,"['#가을', '#걷기', '#혼자']"
성산일출봉(UNESCO 세계자연유산),5,#일출 #오름 #경관/포토,https://www.visitjeju.net/kr/detail/view?contentsid=CONT_000000000500349&menuId=DOM_000001718000000000#p1,611,"방문전에는 전화 등을 통해 이용방법을 미리 확인하라는 안내에 따라, 9월 15일 오전에 전화로 문의드렸습니다. 당시 전화를 받았던 여직원은 여태 태어나서 만나 본 사람 중에 가장 예의없고 무례한 사람이었습니다. 처음에는 제 전화나 말투가 혹시 상대방이 불쾌하다고 느낄 것이었나 여러번 생각을 해보기도 했네요. 전화를 받을 때부터 화난 목소리에 불친절한 말투. 리뷰를 보니 이미 여러번 불친절하다고 말이 많던 여직원 이었네요. 몇 년 만에 여행이었기에 기분이 상하고 싶지 않아 인생에 화가 많은 안타까운 분이구나하고 넘어갑니다. 다만, 이직 혹은 직원교육은 꼭 필요해 보입니다.",2021.09.17,1,"['#불친절', '#직원교육', '#여직원']"
성산일출봉(UNESCO 세계자연유산),5,#일출 #오름 #경관/포토,https://www.visitjeju.net/kr/detail/view?contentsid=CONT_000000000500349&menuId=DOM_000001718000000000#p1,611,유네스코 성산일출봉입니다 세계의중심 제주도 입니다💓,2021.08.29,5,"['#제주도', '#유네스코', '#세계문화유산']"
성산일출봉(UNESCO 세계자연유산),5,#일출 #오름 #경관/포토,https://www.visitjeju.net/kr/detail/view?contentsid=CONT_000000000500349&menuId=DOM_000001718000000000#p1,611,"경치도 아름답고 자연도 좋고, 언제 가도 좋은 곳이긴 합니다. 하지만 이번 방문 때 7월 땡볕 아래서 승마 체험을 하고 있는 모습을 보고, 계속 불편한 마음이 들어 글 남깁니다. 7월 중순의 성산일출봉은 조금만 올라가도 땀이 비오듯 쏟아질만큼 덥습니다. 그런데 그 무더위 아래서 말 2마리가 사람을 등에 태우고 승마 체험을 하는 모습이 솔직히 보기 좋지는 않았습니다. 성산일출봉 한가운데 말들이 걸어다니는 그런 모습을 보면, 자연과 동물과 인간이 어우러져 아름답다는 느낌을 가장 먼저 받아야하는데 그보다는 말들이 너무 힘들겠다는 생각만 들만큼, 말들이 많이 지쳐보였습니다. 말은 근육량 비율과 골격근 숫자가 시람보다 높아서 더위에 훨씬 취약한 동물이라고 합니다. 승마 체험 자체를 비난할 수는 없겠지만, 무더위 철만이라도 조금 더 시원한 장소에서 체험을 했으면 좋겠습니다. 그게 어렵다면 말들이 사람을 태우지 않고 쉴 때만이라도 말들에게 햇빛을 피할 수 있는 그늘막과 얼음팩을 제공해줬으면 합니다. 천막 하나 없이 햇볕 아래 말들을 세워두는 건 정말 아닌 것 같다는 생각이 듭니다. 성산일출봉은 자연과 인간의 조화와 거기에서 오는 평화가 무척 매력적인 관광지인데, 오늘 본 두 마리 말의 기운없는 모습은 정말 이질적인 풍경이었습니다. 말들이 이 더운 여름을 잘 이겨낼 수 있도록 모쪼록 빠른 대응 부탁드리겠습니다.",2021.07.19,3,"['##여름', '##걷기', '##가족']"
성산일출봉(UNESCO 세계자연유산),5,#일출 #오름 #경관/포토,https://www.visitjeju.net/kr/detail/view?contentsid=CONT_000000000500349&menuId=DOM_000001718000000000#p1,611,성산일출봉 자체는 좋았는데.... 코로나라고 물품보관소는 도대체 왜 닫은 걸까요ㅠ 뚜벅이들은 전혀 고려하지 않은걸까요..... 무거운 짐 들고 진심 너무 당황했어요. 방역수칙 지키며 물품보관함 열어주심 좋겠네요 꼭 부탇드려요!,2021.06.16,4,"['#봄', '#힐링', '#혼자']"
성산일출봉(UNESCO 세계자연유산),5,#일출 #오름 #경관/포토,https://www.visitjeju.net/kr/detail/view?contentsid=CONT_000000000500349&menuId=DOM_000001718000000000#p1,611,매표소 여직원 너무 불친절 기분 나쁘네요 자연유산에서 일하는분이면 기본예의부터 배우세요 광치기해변찾다 여기로가게되서 물어보니 상관없는곳이라고 말투자체가 너무 불친절 코로나풀리면 외국인관광객한테 창피할정도네요 다른업종을 하든지 정말 기분나쁩니다. 다신 안가고싶네요,2021.03.15,1,"['##성산 #직원 #교육이든 바꾸시든', '#여름', '#봄']"
성산일출봉(UNESCO 세계자연유산),5,#일출 #오름 #경관/포토,https://www.visitjeju.net/kr/detail/view?contentsid=CONT_000000000500349&menuId=DOM_000001718000000000#p1,611,전화받는데 무슨 현숙? 그분 전화받기 싫으시면 업종 변경 바랍니다.,2021.01.14,1,"['#응대', '#불친절', '#교육']"
성산일출봉(UNESCO 세계자연유산),5,#일출 #오름 #경관/포토,https://www.visitjeju.net/kr/detail/view?contentsid=CONT_000000000500349&menuId=DOM_000001718000000000#p1,611,정말 넘 이뻤어요~ 또가고싶네요,2020.11.30,4,"['#봄', '#힐링', '#체험']"
성산일출봉(UNESCO 세계자연유산),5,#일출 #오름 #경관/포토,https://www.visitjeju.net/kr/detail/view?contentsid=CONT_000000000500349&menuId=DOM_000001718000000000#p1,611,장관은 말이 필요없을 정도로 아름다웠습니다. 하지만 제가 별을 두 개 뺀 이유는 세계 문화 유산인데 누가 안에서 과자를 먹고 있더라구요? 음식물 반입금지 아닌가요? 안에서 음식 먹고 있는 사람들을 보니 너무 불편했습니다 입구에서 음식물 검사를 할거면 제대로 해주시길 바랍니다. 보이는 것만 잡으려 하지 마시고 다른 조치를 취해주시길 바랍니다.,2020.06.07,3,"['#성산일출봉', '#음식물', '#반입금지']"
성산일출봉(UNESCO 세계자연유산),5,#일출 #오름 #경관/포토,https://www.visitjeju.net/kr/detail/view?contentsid=CONT_000000000500349&menuId=DOM_000001718000000000#p1,611,겨울바다 성산일출봉 앞 해녀,2019.12.19,5,"['#성산일출봉', '#제주해녀', '#해녀']"
성산일출봉(UNESCO 세계자연유산),5,#일출 #오름 #경관/포토,https://www.visitjeju.net/kr/detail/view?contentsid=CONT_000000000500349&menuId=DOM_000001718000000000#p1,611,흐린 날이면 성산일출봉은 더욱 신비스러워진다. 들리는 건 빗소리와 바람소리뿐. 사람들도 말이 없다.,2019.12.13,5,"['##제주컬러어택', '#성산일출봉', '#흐린날에는일출봉에가야한다']"
성산일출봉(UNESCO 세계자연유산),5,#일출 #오름 #경관/포토,https://www.visitjeju.net/kr/detail/view?contentsid=CONT_000000000500349&menuId=DOM_000001718000000000#p1,611,일출봉 올라오는길에 내려다본 장관~,2019.12.12,5,"['#제주컬러어택', '#성산일출봉', '#레드그린블루']"
성산일출봉(UNESCO 세계자연유산),5,#일출 #오름 #경관/포토,https://www.visitjeju.net/kr/detail/view?contentsid=CONT_000000000500349&menuId=DOM_000001718000000000#p1,611,아이들과 처음가본 제주도! 그중 꼭 가보고 싶었던 성산일출봉에서 아이들과 함께 바라본 제주의 가을은 평생 잊지못할 추억이 될것 같습니다,2019.10.04,5,"['#제주가을', '#성산일출봉', '#가을여행']"
성산일출봉(UNESCO 세계자연유산),5,#일출 #오름 #경관/포토,https://www.visitjeju.net/kr/detail/view?contentsid=CONT_000000000500349&menuId=DOM_000001718000000000#p1,611,제주도 고기국수 먹고 성산일출봉 오르고 한라봉쥬스 먹고 사진도 찍고 가을제주 최고!,2019.09.09,5,"['#제주가을', '#성산일출봉', '#제주고기국수']"
성산일출봉(UNESCO 세계자연유산),5,#일출 #오름 #경관/포토,https://www.visitjeju.net/kr/detail/view?contentsid=CONT_000000000500349&menuId=DOM_000001718000000000#p1,611,제주 성산일출봉 올라갔다왔네요 하지만 망원경의 경우 동전을 넣어도 전혀 작동하지 않는 고장난 상태였다는걸 중국 관광객이 오히려 저희에게 알려주더군요 어찌나 창피던지 입장료 받아서 올라오는데 이런 시설물 조차 관리도 못하고 고장나서 사용하지 말라는 문구도 전혀 없고 이럴거면 입장료를 왜 받나 싶더라구요~ 또한 중간에 있는 화장실도 청결상태가 너무 엉망이고 전등도 나가서 들어오지 않아 어두컴컴하고 돌아가는건 환풍기 뿐이네요 관리가 시급하다고 봅니다,2019.09.01,3,"['#여름', '#가을', '#힐링']"
성산일출봉(UNESCO 세계자연유산),5,#일출 #오름 #경관/포토,https://www.visitjeju.net/kr/detail/view?contentsid=CONT_000000000500349&menuId=DOM_000001718000000000#p1,611,"그날 날씨가 좋아서 풍경이 진짜 아름답다 ,그리고 거기에서 해녀쇼를 볼 수 있다!!!",2019.06.10,5,"['#성산일출봉', '#해물', '#돌하르방']"
성산일출봉(UNESCO 세계자연유산),5,#일출 #오름 #경관/포토,https://www.visitjeju.net/kr/detail/view?contentsid=CONT_000000000500349&menuId=DOM_000001718000000000#p1,611,성산일출봉 나의 친한친구 아이들과 함께 올라가서 사진찍었네요.이제는 좀더 커버린 울 수빈.수연이 또다시 가자~~,2019.05.23,5,"['#5월엔제주', '#성산일출봉', '#세계문화유산']"
성산일출봉(UNESCO 세계자연유산),5,#일출 #오름 #경관/포토,https://www.visitjeju.net/kr/detail/view?contentsid=CONT_000000000500349&menuId=DOM_000001718000000000#p1,611,가족들과 처음으로 제주여행 다녀왔습니다 날씨는 4일동안 흐리거나 비ㅠㅠ 아쉽지만 즐거운 여행이었다습니다.,2019.05.01,5,"['##5월엔제주 #성산일출봉 #가족여행', '#성산일출봉', '#가족들과 처음으로 제주여행 다녀왔습니다 날씨는 4일동안 흐리거나 비ㅠㅠ 아쉽지만 즐거운 여행이었다습니다.']"
성산일출봉(UNESCO 세계자연유산),5,#일출 #오름 #경관/포토,https://www.visitjeju.net/kr/detail/view?contentsid=CONT_000000000500349&menuId=DOM_000001718000000000#p1,611,"#제주여행 #제주의가을 #성산일출봉 #제주추천여행지 #비짓제주 #생일맞이여행 #힐링제주

매년 봄가을 신랑과 내생일엔 제주나들이를 꼭 가게된다
봄여름가을겨울 다 아름다운 제주를 느끼기위하 ~^^
작년 신랑생일 다녀온 성산일출봉~♡
푸릇푸릇함과 가을이 함께했던 너무나 예뻤던곳
일출봉 정상에서 내려다본 제주의 바다또한 감탄 그자체 였어요
올해는 우도와 올레길을 걸어보려 다음주 또 제주로 향합니다~
조금만 기다려 내사랑 제주~~♡",2018.11.10,5,"['#제주여행', '#제주의가을', '#성산일출봉']"
성산일출봉(UNESCO 세계자연유산),5,#일출 #오름 #경관/포토,https://www.visitjeju.net/kr/detail/view?contentsid=CONT_000000000500349&menuId=DOM_000001718000000000#p1,611,#제주가을 #성산일출봉,2018.11.08,5,"['#제주가을', '#성산일출봉']"
성산일출봉(UNESCO 세계자연유산),5,#일출 #오름 #경관/포토,https://www.visitjeju.net/kr/detail/view?contentsid=CONT_000000000500349&menuId=DOM_000001718000000000#p1,611,#제주가을 #성산일출봉,2018.11.08,5,"['#제주가을', '#성산일출봉']"
성산일출봉(UNESCO 세계자연유산),5,#일출 #오름 #경관/포토,https://www.visitjeju.net/kr/detail/view?contentsid=CONT_000000000500349&menuId=DOM_000001718000000000#p1,611,와이프랑 함께 성산일출봉의 일출을 함께,2018.11.05,5,[]
성산일출봉(UNESCO 세계자연유산),5,#일출 #오름 #경관/포토,https://www.visitjeju.net/kr/detail/view?contentsid=CONT_000000000500349&menuId=DOM_000001718000000000#p1,611,#제주가을사진 #제주가을픙경 #성산일출봉 #성산일출봉가을풍경,2018.10.23,5,"['#제주가을사진', '#제주가을픙경', '#성산일출봉']"
성산일출봉(UNESCO 세계자연유산),5,#일출 #오름 #경관/포토,https://www.visitjeju.net/kr/detail/view?contentsid=CONT_000000000500349&menuId=DOM_000001718000000000#p1,611,,2018.10.19,5,[]
성산일출봉(UNESCO 세계자연유산),5,#일출 #오름 #경관/포토,https://www.visitjeju.net/kr/detail/view?contentsid=CONT_000000000500349&menuId=DOM_000001718000000000#p1,611,#멋진풍경#속이#뻥뚫린다#답답한마음이#후련하게#뚫려요,2018.10.15,5,"['#멋진풍경', '#속이', '#뻥뚫린다']"
성산일출봉(UNESCO 세계자연유산),5,#일출 #오름 #경관/포토,https://www.visitjeju.net/kr/detail/view?contentsid=CONT_000000000500349&menuId=DOM_000001718000000000#p1,611,#제주도 #성산일출봉,2018.10.13,5,"['#제주도', '#성산일출봉']"
성산일출봉(UNESCO 세계자연유산),5,#일출 #오름 #경관/포토,https://www.visitjeju.net/kr/detail/view?contentsid=CONT_000000000500349&menuId=DOM_000001718000000000#p1,611,#제주가을 #성산봉 #성산읍,2018.10.12,5,"['#제주가을', '#성산봉', '#성산읍']"
성산일출봉(UNESCO 세계자연유산),5,#일출 #오름 #경관/포토,https://www.visitjeju.net/kr/detail/view?contentsid=CONT_000000000500349&menuId=DOM_000001718000000000#p1,611,7:30 ~ 19:00 입장료 성인 2000원,2018.10.09,4,"['#입장료', '#저렴해', '#착해']"
성산일출봉(UNESCO 세계자연유산),5,#일출 #오름 #경관/포토,https://www.visitjeju.net/kr/detail/view?contentsid=CONT_000000000500349&menuId=DOM_000001718000000000#p1,611,"19시까지라고 되어있지만 매표는 17시 50분까지더라구요. 51분에 도착했는데 매표마감 표지판을 올리시며 ""시계보세요. 51분이잖아요.""라고 하셔서 입장 못했습니다. 19시까지라는건 매표는 17시 50분전에 하셔야한다는 뜻이래요. 저만 한국말에 대한 이해가 부족했던걸까요? 저와 거의 비슷한 시간에 도착한 외국인들에게는 눈길한번 안주시고 정산만 하시던데.. 세계문화유산이고 제주에서 꼭 봐야할 곳이라고 생각해서 방문한 사람들에 대한 배려가 있었다면 얼마나 좋았을까.. 생각해보았습니다. 저는 자주 시간내기 어렵지만 언젠가 한번은 또 오겠지요. 하지만 외국인들은 평생 우리나라 제주가 한번일지도 모르잖아요. 배려가 힘드시면 관광지 상세정보라도 수정하시는게 어떨까요?",2018.10.02,1,"['#가을', '#힐링', '#가족여행']"
성산일출봉(UNESCO 세계자연유산),5,#일출 #오름 #경관/포토,https://www.visitjeju.net/kr/detail/view?contentsid=CONT_000000000500349&menuId=DOM_000001718000000000#p1,611,언제가도 멋진 성산일출봉,2018.09.13,4,"['#혼자', '#봄', '#여행']"
성산일출봉(UNESCO 세계자연유산),5,#일출 #오름 #경관/포토,https://www.visitjeju.net/kr/detail/view?contentsid=CONT_000000000500349&menuId=DOM_000001718000000000#p1,611,다리 아파요 ㅋ,2018.08.31,3,"['#가을', '#가족여행', '#가족']"
성산일출봉(UNESCO 세계자연유산),5,#일출 #오름 #경관/포토,https://www.visitjeju.net/kr/detail/view?contentsid=CONT_000000000500349&menuId=DOM_000001718000000000#p1,611,"#여름 #성산일출봉 #일출 #해돋이 #여름성산
여름에 제주에서 일출을 보고싶어서 성산에 다녀왔어요~ㅎㅎ
겨울에 보는 일출도 멋있지만 여름도 매력적이고 아름답네요♥ 행복한 여름입니다. ^-^ㅎㅎ",2018.08.27,5,"['#여름', '#성산일출봉', '#일출']"
성산일출봉(UNESCO 세계자연유산),5,#일출 #오름 #경관/포토,https://www.visitjeju.net/kr/detail/view?contentsid=CONT_000000000500349&menuId=DOM_000001718000000000#p1,611,#성산일출봉#제주#신선놀음,2018.08.27,5,"['#성산일출봉', '#제주', '#신선놀음']"
성산일출봉(UNESCO 세계자연유산),5,#일출 #오름 #경관/포토,https://www.visitjeju.net/kr/detail/view?contentsid=CONT_000000000500349&menuId=DOM_000001718000000000#p1,611,"이 세상에서 제일 중요한 것은
어떻게 하면 내가 정말 나다워질 수 있는가를 아는 것

#여름 #제주 #제주동쪽 #성산일출봉 #그대이름은 #바람바람바람",2018.08.24,5,"['#여름', '#제주', '#제주동쪽']"
성산일출봉(UNESCO 세계자연유산),5,#일출 #오름 #경관/포토,https://www.visitjeju.net/kr/detail/view?contentsid=CONT_000000000500349&menuId=DOM_000001718000000000#p1,611,#성산일출봉,2018.08.24,5,['#성산일출봉']
성산일출봉(UNESCO 세계자연유산),5,#일출 #오름 #경관/포토,https://www.visitjeju.net/kr/detail/view?contentsid=CONT_000000000500349&menuId=DOM_000001718000000000#p1,611,#문열자마자가기#산책하기좋은곳#계단이많아요,2018.08.03,5,"['#문열자마자가기', '#산책하기좋은곳', '#계단이많아요']"
성산일출봉(UNESCO 세계자연유산),5,#일출 #오름 #경관/포토,https://www.visitjeju.net/kr/detail/view?contentsid=CONT_000000000500349&menuId=DOM_000001718000000000#p1,611,멀리서부터 웅장함이 아주 ㅋㅋ 보일때부터 웅장함 수려함에 잘 왔구나 생각이 들었습니다 ㅋㅋ개인적인 평점은 9/10 ㅋㅋ올라가는 동안 사람이 쉴 그늘이 부족하고 (얼렁 보고 빨리 내려가라는건가) 전 성산일출봉 밟을 수 있을지 알아서 또는 다리가 길게 봉 전체에 걸쳐 크게 연결되있을 줄 알았는 데 그게 아니어서 갠적으로 9점 ㅋ입장료도 2000원으로 저렴합니다,2018.07.29,5,"['#여름', '#가족여행', '#가족']"
